time,zoneR1C1_AG_slower.Y
729000,22.57585229
729000,22.57585229
730800,22.70383462
730800,22.70383463
730800,22.70383463
732600,22.83055536
732600,22.83055536
732600,22.83055536
734400,22.94452827
734400,22.94452827
734400,22.94452827
736200,23.03052871
736200,23.03052872
736200,23.03052872
738000,23.08606118
738000,23.08606118
738000,23.08606118
739800,23.10034048
739800,23.10034048
739800,23.10034048
741600,23.0947486
741600,23.0947486
741600,23.0947486
743400,23.07097994
743400,23.07097994
743400,23.07097994
745200,23.00579268
745200,23.00579268
745200,23.00579268
747000,22.90672632
747000,22.90672631
747000,22.90672631
748800,22.77404063
748800,22.77404063
748800,22.77404063
750600,22.61953946
750600,22.61953945
750600,22.61953945
752400,22.45539836
752400,22.45539835
752400,22.45539835
754200,22.28406562
754200,22.28406561
754200,22.28406561
756000,22.10795044
756000,22.10795044
756000,22.10795044
757800,21.9290984
757800,21.9290984
757800,21.9290984
759600,21.7482627
759600,21.74826269
759600,21.74826269
761400,21.56616103
761400,21.56616102
761400,21.56616102
763200,21.38285776
763200,21.38285776
763200,21.38285776
765000,21.19833427
765000,21.19833427
765000,21.19833427
766800,21.01278272
766800,21.01278271
766800,21.01278271
768600,20.82639344
768600,20.82639343
768600,20.82639343
770400,20.63972221
770400,20.6397222
770400,20.6397222
772200,20.45332271
772200,20.4533227
772200,20.4533227
774000,20.26699969
774000,20.26699969
774000,20.26699969
775800,20.08057897
775800,20.08057896
775800,20.08057896
777600,19.99435747
777600,19.99435748
777600,19.99435748
779400,19.97799646
779400,19.97799646
779400,19.97799646
781200,19.98720097
781200,19.98720097
781200,19.98720097
783000,20.00297765
783000,20.00297765
783000,20.00297765
784800,20.00951279
784800,20.00951279
784800,20.00951279
786600,19.82791814
786600,19.82791813
786600,19.82791813
788400,19.63830859
788400,19.63830858
788400,19.63830858
790200,19.45045297
790200,19.45045296
790200,19.45045296
792000,19.26433844
792000,19.26433843
792000,19.26433843
793800,19.08005149
793800,19.08005148
793800,19.08005148
795600,19.44422628
795600,19.4442263
795600,19.4442263
797400,19.86885617
797400,19.86885619
797400,19.86885619
799200,20.31866078
799200,20.3186608
799200,20.3186608
801000,20.80947927
801000,20.80947929
801000,20.80947929
802800,21.33518347
802800,21.33518349
802800,21.33518349
804600,21.89072069
804600,21.89072072
804600,21.89072072
806400,22.45765276
806400,22.45765278
806400,22.45765278
808200,23.0057536
808200,23.00575362
808200,23.00575362
810000,23.05586692
810000,23.05586692
810000,23.05586692
811800,23.06235493
811800,23.06235493
811800,23.06235493
813600,23.0826512
813600,23.0826512
813600,23.0826512
815400,23.11983691
815400,23.11983691
815400,23.11983691
817200,23.17490277
817200,23.17490278
817200,23.17490278
819000,23.2361049
819000,23.2361049
819000,23.2361049
820800,23.27540973
820800,23.27540973
820800,23.27540973
822600,23.28505366
822600,23.28505366
822600,23.28505366
824400,23.30215741
824400,23.30215741
824400,23.30215741
826200,23.33742139
826200,23.33742139
826200,23.33742139
828000,23.32460065
828000,23.32460065
828000,23.32460065
829800,23.25680786
829800,23.25680785
829800,23.25680785
831600,23.17069311
831600,23.1706931
831600,23.1706931
833400,23.05930591
833400,23.05930591
833400,23.05930591
835200,22.99079455
835200,22.99079455
835200,22.99079455
837000,22.98168772
837000,22.98168772
837000,22.98168772
838800,22.82794962
838800,22.82794961
838800,22.82794961
840600,22.67109665
840600,22.67109664
840600,22.67109664
842400,22.51539188
842400,22.51539188
842400,22.51539188
844200,22.36082688
844200,22.36082687
844200,22.36082687
846000,22.20904222
846000,22.20904221
846000,22.20904221
847800,22.06166347
847800,22.06166347
847800,22.06166347
849600,21.91865852
849600,21.91865852
849600,21.91865852
851400,21.77999266
851400,21.77999265
851400,21.77999265
853200,21.64417004
853200,21.64417003
853200,21.64417003
855000,21.50970763
855000,21.50970763
855000,21.50970763
856800,21.37677869
856800,21.37677869
856800,21.37677869
858600,21.24555468
858600,21.24555467
858600,21.24555467
860400,21.11547923
860400,21.11547922
860400,21.11547922
862200,20.98600721
862200,20.9860072
862200,20.9860072
864000,20.85526205
864000,20.85526205
864000,20.85526205
865800,20.79273619
865800,20.79273621
865800,20.79273621
867600,21.05025774
867600,21.05025774
867600,21.05025774
869400,21.00363085
869400,21.00363085
869400,21.00363085
871200,20.98487848
871200,20.98487848
871200,20.98487848
873000,20.98848271
873000,20.98848271
873000,20.98848271
874800,21.00113544
874800,21.00113544
874800,21.00113544
876600,21.00747623
876600,21.00747623
876600,21.00747623
878400,21.00457532
878400,21.00457532
878400,21.00457532
880200,20.9988816
880200,20.9988816
880200,20.9988816
882000,21.37205141
882000,21.37205143
882000,21.37205143
883800,21.76636865
883800,21.76636867
883800,21.76636867
885600,22.15277083
885600,22.15277085
885600,22.15277085
887400,22.53382689
887400,22.53382691
887400,22.53382691
889200,22.9106564
889200,22.91065641
889200,22.91065641
891000,23.00627566
891000,23.00627565
891000,23.00627565
892800,23.02193264
892800,23.02193264
892800,23.02193264
894600,23.00897864
894600,23.00897864
894600,23.00897864
896400,22.99305252
896400,22.99305252
896400,22.99305252
898200,22.99072112
898200,22.99072112
898200,22.99072112
900000,22.99772285
900000,22.99772285
900000,22.99772285
901800,23.00378106
901800,23.00378106
901800,23.00378106
903600,23.00456193
903600,23.00456193
903600,23.00456193
905400,23.00184557
905400,23.00184557
905400,23.00184557
907200,22.93396137
907200,22.93396137
907200,22.93396137
909000,22.8553128
909000,22.85531279
909000,22.85531279
910800,22.77356861
910800,22.77356861
910800,22.77356861
912600,22.686466
912600,22.686466
912600,22.686466
914400,22.59555284
914400,22.59555284
914400,22.59555284
916200,22.49935603
916200,22.49935603
916200,22.49935603
918000,22.39306675
918000,22.39306674
918000,22.39306674
919800,22.28258515
919800,22.28258515
919800,22.28258515
921600,22.17149524
921600,22.17149524
921600,22.17149524
923400,22.05713036
923400,22.05713036
923400,22.05713036
925200,21.9398469
925200,21.93984689
925200,21.93984689
927000,21.82170207
927000,21.82170207
